ID,LocTime,LocFrequency,Cycles,SNR,TrialID,SignalSD,AtomSD,SLTMaskSBMID,SLTMaskSBMMatchErr,SLTMaskSBMTimeErr,SLTMaskSBMFreqErr,CWTMaskSBMID,CWTMaskSBMMatchErr,CWTMaskSBMTimeErr,CWTMaskSBMFreqErr,STFTMaskSBMID,STFTMaskSBMMatchErr,STFTMaskSBMTimeErr,STFTMaskSBMFreqErr,SLTMaskPFID,SLTMaskPFMatchErr,SLTMaskPFTimeErr,SLTMaskPFFreqErr,CWTMaskPFID,CWTMaskPFMatchErr,CWTMaskPFTimeErr,CWTMaskPFFreqErr,STFTMaskPFID,STFTMaskPFMatchErr,STFTMaskPFTimeErr,STFTMaskPFFreqErr,SLTBoxSBMID,SLTBoxSBMMatchErr,SLTBoxSBMTimeErr,SLTBoxSBMFreqErr,CWTBoxSBMID,CWTBoxSBMMatchErr,CWTBoxSBMTimeErr,CWTBoxSBMFreqErr,STFTBoxSBMID,STFTBoxSBMMatchErr,STFTBoxSBMTimeErr,STFTBoxSBMFreqErr,SLTBoxPFID,SLTBoxPFMatchErr,SLTBoxPFTimeErr,SLTBoxPFFreqErr,CWTBoxPFID,CWTBoxPFMatchErr,CWTBoxPFTimeErr,CWTBoxPFFreqErr,STFTBoxPFID,STFTBoxPFMatchErr,STFTBoxPFTimeErr,STFTBoxPFFreqErr,SLTBoxOEID,SLTBoxOEMatchErr,SLTBoxOETimeErr,SLTBoxOEFreqErr,CWTBoxOEID,CWTBoxOEMatchErr,CWTBoxOETimeErr,CWTBoxOEFreqErr,STFTBoxOEID,STFTBoxOEMatchErr,STFTBoxOETimeErr,STFTBoxOEFreqErr
311,0.5318141,51,10,0.25,6,1.041205,0.5206025,17,0.34234947,0.005859375,0,11,0.27317417,0.0078125,0.4964539,10,0.21398467,0.006,0,11,0.36820012,0.005859375,0,5,0.44715053,0.0078125,0.4964539,7,0.3274569,0.006,0,17,0.30472428,0.005859375,0,11,0.32653064,0.0078125,0.4964539,10,0.24422973,0.006,0,11,0.4145105,0.005859375,0,5,0.53645176,0.0078125,0.4964539,7,0.35992557,0.006,0,1,0.48693854,0.0068359375,0.9929078,1,0.65494716,0.0078125,0.9929078,1,0.46670294,0.006,0.4964539
312,1.366242,89,10,0.25,39,1.0793183,0.53965914,63,0.49149227,0.0126953125,0.9929078,18,0.6632515,0.02734375,28.794327,0,1,1.603,58.581562,0,1,1.5654297,59.078014,0,1,1.5654297,58.581562,0,1,1.603,58.581562,63,0.4828741,0.0126953125,0.9929078,18,0.6901574,0.02734375,28.794327,19,0.9946925,0.187,28.794327,0,1,1.5654297,59.078014,0,1,1.5654297,58.581562,0,1,1.603,58.581562,19,0.49661016,0.013671875,1.9858156,18,0.7346094,0.029296875,30.28369,13,0.7560478,0.022000002,0.4964539
313,0.35866746,84,10,0.25,13,1.0669897,0.53349483,49,0.6085142,0.038085938,4.4680853,27,0.5645553,0.036132812,1.4893618,28,0.63330495,0.038000003,3.4751773,34,0.8876877,0.013671875,4.4680853,0,1,0.55859375,54.609932,0,1,0.573,53.617023,49,0.54400355,0.038085938,4.4680853,27,0.5198347,0.036132812,1.4893618,28,0.5832367,0.038000003,3.4751773,34,0.8641766,0.013671875,4.4680853,0,1,0.55859375,54.609932,0,1,0.573,53.617023,2,0.75406504,0.038085938,4.4680853,10,0.57425904,0.034179688,0.9929078,9,0.71352786,0.036000002,2.4822695
314,0.4709773,39,10,0.25,74,1.1057925,0.55289626,8,0.6573906,0.06542969,0.9929078,7,0.48967928,0.043945312,0,9,0.49779212,0.043,0,5,0.6933433,0.06542969,0.9929078,4,0.7705989,0.041992188,19.361702,5,0.5658417,0.043,0,8,0.6540003,0.06542969,0.9929078,7,0.5075331,0.043945312,0,9,0.5181006,0.043,0,5,0.71956605,0.06542969,0.9929078,4,0.7103034,0.041992188,19.361702,5,0.54672086,0.043,0,14,0.8067729,0.06542969,0.9929078,10,0.7126744,0.043945312,0,14,0.6807424,0.041,0.4964539
315,1.4179928,52,10,0.25,37,1.1018405,0.55092025,25,0.6637362,0.02734375,2.4822695,11,0.5554342,0.0390625,3.9716313,4,0.77196336,0.027,3.4751773,7,0.7684993,0.15527344,12.907802,4,0.80830634,0.0390625,3.9716313,3,0.7915383,0.027,3.4751773,25,0.6739752,0.02734375,2.4822695,11,0.5551806,0.0390625,3.9716313,4,0.8521866,0.027,3.4751773,7,0.83873814,0.15527344,12.907802,4,0.8692779,0.0390625,3.9716313,3,0.86307347,0.027,3.4751773,1,0.62083334,0.02734375,2.4822695,2,0.66023165,0.038085938,3.4751773,3,0.55329156,0.026,2.4822695
316,0.22159223,48,10,0.25,82,1.0566645,0.52833223,24,0.77047926,0.0390625,0.9929078,7,0.759709,0.053710938,3.4751773,13,0.7154969,0.07300001,0.9929078,1,0.6676463,0.07421875,0.9929078,1,0.7318683,0.08105469,0.9929078,1,0.7243954,0.080000006,13.404256,25,0.5744737,0.07421875,0.9929078,8,0.7003155,0.08105469,0.9929078,13,0.5141484,0.07300001,0.9929078,1,0.69235796,0.07421875,0.9929078,1,0.69761467,0.08105469,0.9929078,1,0.6923944,0.080000006,13.404256,1,0.61457545,0.076171875,1.4893618,1,0.70478153,0.08105469,0,1,0.6297301,0.072000004,1.4893618
317,0.9938694,94,10,0.25,33,1.1637865,0.58189327,65,0.38263667,0.00390625,1.4893618,32,0.4277987,0.0009765625,0,25,0.2727763,0.0050000004,1.9858156,23,0.3893398,0.00390625,1.4893618,16,0.4330371,0.0009765625,0,15,0.76488096,0.0050000004,1.9858156,65,0.43154222,0.00390625,1.4893618,32,0.43238634,0.0009765625,0,25,0.35161966,0.0050000004,1.9858156,23,0.35250336,0.00390625,1.4893618,16,0.36191177,0.0009765625,0,15,0.7224225,0.0050000004,1.9858156,1,0.27018702,0.0009765625,1.9858156,0,1,1.1933594,64.04256,1,0.2654299,0.003,1.9858156
318,1.45937,74,10,0.25,84,1.0396936,0.5198468,48,0.5588235,0.017578125,0.9929078,24,0.5777922,0.018554688,2.4822695,23,0.46570945,0.013,1.4893618,20,0.5255239,0.017578125,0.9929078,9,0.6212629,0.018554688,2.4822695,10,0.54180986,0.013,1.4893618,48,0.4865054,0.017578125,0.9929078,24,0.54797584,0.018554688,2.4822695,23,0.4470377,0.013,1.4893618,20,0.37103504,0.017578125,0.9929078,9,0.57977945,0.018554688,2.4822695,10,0.46072596,0.013,1.4893618,1,0.47752225,0.017578125,0.9929078,1,0.5947873,0.018554688,1.4893618,1,0.571973,0.013,1.4893618
319,0.8329362,83,10,0.25,4,1.0210568,0.5105284,56,0.5607706,0.01953125,6.9503546,12,0.6163434,0.0146484375,2.9787235,26,0.7072935,0.016,6.9503546,33,0.78795326,0.01953125,6.9503546,18,0.73039013,0.0146484375,2.9787235,0,1,1.057,52.624115,56,0.5096154,0.01953125,6.9503546,12,0.6183486,0.0146484375,2.9787235,26,0.7131931,0.016,6.9503546,33,0.78606725,0.01953125,6.9503546,18,0.5817308,0.0146484375,2.9787235,0,1,1.057,52.624115,2,0.76121604,0.01953125,7.9432626,0,1,1.0322266,53.120567,3,0.78741944,0.018000001,8.439716
320,1.3352555,79,10,0.25,4,1.0210568,0.5105284,48,0.5832999,0.00390625,3.9716313,25,0.4827782,0.0048828125,0,24,0.6380992,0.018000001,6.453901,26,0.51312685,0.051757812,9.929078,13,0.63242763,0.049804688,8.936171,11,0.62207603,0.036000002,9.432624,48,0.5397528,0.00390625,3.9716313,25,0.45049077,0.0048828125,0,24,0.58662367,0.018000001,6.453901,26,0.44262642,0.051757812,9.929078,13,0.45579016,0.049804688,8.936171,11,0.4629389,0.036000002,9.432624,1,0.53262615,0.05078125,9.432624,1,0.42216748,0.005859375,1.4893618,3,0.72008115,0.019000001,6.9503546
321,1.3713877,44,10,0.25,62,1.1388844,0.5694422,19,0.6848155,0.040039062,0,10,0.5861443,0.043945312,0.9929078,11,0.4088617,0.036000002,1.4893618,7,0.5691439,0.040039062,0,3,0.43900836,0.043945312,0.9929078,4,0.6673426,0.036000002,1.4893618,19,0.65655625,0.040039062,0,10,0.50547945,0.043945312,0.9929078,11,0.3213504,0.036000002,1.4893618,7,0.536935,0.040039062,0,3,0.22151405,0.043945312,0.9929078,4,0.7571334,0.036000002,1.4893618,1,0.5602094,0.040039062,0,3,0.19393939,0.044921875,1.9858156,2,0.30678934,0.037,1.9858156
322,1.077062,82,10,0.25,58,1.0467395,0.5233697,64,0.64863753,0.0048828125,2.9787235,37,0.5767341,0.001953125,1.4893618,21,0.5542412,0.012,3.9716313,35,0.87772745,0.02734375,2.9787235,1,0.89633584,0.016601562,18.368795,0,1,1.307,51.631207,64,0.50536585,0.0048828125,2.9787235,37,0.58549225,0.001953125,1.4893618,21,0.655283,0.012,3.9716313,35,0.86471546,0.02734375,2.9787235,1,0.8346457,0.016601562,18.368795,0,1,1.307,51.631207,5,0.7605237,0.0048828125,2.9787235,10,0.6199616,0.0029296875,1.9858156,7,0.68879664,0.012,3.9716313
323,1.4739926,84,10,0.25,45,1.1503814,0.5751907,64,0.48069388,0.001953125,0.9929078,28,0.4122386,0.0087890625,5.957447,14,0.8220717,0.007,0.9929078,32,0.63677406,0.001953125,0.9929078,7,0.7514905,0.0087890625,5.957447,13,0.9187477,0.007,0.9929078,64,0.4398191,0.001953125,0.9929078,28,0.5243821,0.0087890625,5.957447,14,0.90839195,0.007,0.9929078,32,0.5021876,0.001953125,0.9929078,7,0.67299974,0.0087890625,5.957447,13,0.9154687,0.007,0.9929078,1,0.4843049,0.0029296875,0,2,0.42123687,0.0087890625,2.9787235,2,0.73344415,0.007,0
324,0.8333246,40,10,0.25,41,1.0702113,0.53510565,13,0.6620437,0.0390625,1.4893618,9,0.4488063,0.041015625,1.4893618,10,0.44683158,0.031000001,2.4822695,4,0.7238378,0.0390625,1.4893618,6,0.72693586,0.041015625,1.4893618,6,0.5203452,0.031000001,2.4822695,13,0.62956524,0.0390625,1.4893618,9,0.28701967,0.041015625,1.4893618,10,0.34595442,0.031000001,2.4822695,4,0.6313993,0.0390625,1.4893618,6,0.67891157,0.041015625,1.4893618,6,0.41206896,0.031000001,2.4822695,11,0.6213894,0.036132812,1.9858156,8,0.5653817,0.0390625,1.9858156,8,0.66068965,0.033,1.9858156
325,1.0425869,95,10,0.25,69,1.2039646,0.6019823,58,0.3755656,0.0068359375,7.446809,29,0.38487434,0.001953125,4.4680853,18,0.55072045,0.003,6.453901,31,0.67395806,0.016601562,6.9503546,20,0.5823201,0.001953125,4.4680853,0,1,1.2720001,64.53901,58,0.5162512,0.0068359375,7.446809,29,0.5465561,0.001953125,4.4680853,18,0.57142854,0.003,6.453901,31,0.5875221,0.016601562,6.9503546,20,0.41181433,0.001953125,4.4680853,0,1,1.2720001,64.53901,1,0.40700895,0.005859375,6.9503546,11,0.84949833,0.11035156,30.780142,4,0.14626098,0.007,5.460993
326,0.015887452,81,10,0.25,49,1.0559988,0.5279994,43,0.49599504,0.0126953125,0,19,0.44078827,0.01171875,1.4893618,17,0.4238848,0.013,0.4964539,19,0.90100634,0.0126953125,0,14,0.8387795,0.01171875,1.4893618,0,1,0.22100002,50.638298,43,0.42400002,0.0126953125,0,19,0.3793236,0.01171875,1.4893618,17,0.65135133,0.013,0.4964539,19,0.882449,0.0126953125,0,14,0.8173624,0.01171875,1.4893618,0,1,0.22100002,50.638298,10,0.71591836,0.013671875,0.9929078,7,0.63946867,0.013671875,2.9787235,9,0.76881397,0.019000001,1.9858156
327,0.024646187,44,10,0.25,63,1.1661079,0.58305395,13,0.38552874,0.01953125,0.9929078,12,0.48404855,0.034179688,2.4822695,10,0.59864956,0.028,2.9787235,3,0.72156215,0.3076172,3.9716313,3,0.59762114,0.034179688,2.4822695,5,0.7662386,0.31800002,2.9787235,13,0.33056134,0.01953125,0.9929078,12,0.53037155,0.034179688,2.4822695,10,0.5820774,0.028,2.9787235,3,0.7572018,0.3076172,3.9716313,3,0.602082,0.034179688,2.4822695,5,0.79867375,0.31800002,2.9787235,2,0.48249787,0.01953125,0.9929078,1,0.73745453,0.31347656,2.9787235,2,0.53268075,0.028,4.4680853
328,1.3275226,68,10,0.25,16,1.0700427,0.53502136,26,0.69758725,0.01171875,6.453901,14,0.6383598,0.01171875,6.9503546,17,0.7100034,0.013,6.9503546,8,0.65444547,0.01171875,6.453901,12,0.6138486,0.01171875,6.9503546,10,0.69799495,0.013,6.9503546,26,0.6148449,0.01171875,6.453901,14,0.6130532,0.01171875,6.9503546,22,0.601697,0.047000002,4.4680853,8,0.55311537,0.01171875,6.453901,12,0.5713465,0.01171875,6.9503546,10,0.68228495,0.013,6.9503546,1,0.691545,0.01171875,6.453901,1,0.5817851,0.0126953125,6.453901,1,0.59469414,0.013,6.9503546
329,0.4174884,51,10,0.25,51,0.9993276,0.49966377,20,0.31466377,0.0078125,2.4822695,13,0.30777538,0.0078125,1.9858156,11,0.33222127,0.007,1.9858156,14,0.57532644,0.0078125,2.4822695,9,0.533099,0.0078125,1.9858156,10,0.5664751,0.007,1.9858156,20,0.21792597,0.0078125,2.4822695,13,0.38487738,0.0078125,1.9858156,11,0.45193368,0.007,1.9858156,14,0.6124558,0.0078125,2.4822695,9,0.48117912,0.0078125,1.9858156,10,0.59266055,0.007,1.9858156,2,0.5398789,0.0078125,2.4822695,1,0.5703704,0.0078125,1.4893618,1,0.53787875,0.007,1.9858156
330,1.1667277,62,10,0.25,61,1.0181361,0.5090681,33,0.67757773,0.078125,3.4751773,16,0.35346448,0.0078125,0,14,0.5483373,0.020000001,1.9858156,19,0.87919736,0.0009765625,2.9787235,11,0.79842603,0.0078125,0,13,0.93547726,0.020000001,1.9858156,33,0.43834978,0.078125,3.4751773,16,0.43197888,0.0078125,0,14,0.68449306,0.020000001,1.9858156,19,0.8837585,0.0009765625,2.9787235,11,0.6969178,0.0078125,0,13,0.92659324,0.020000001,1.9858156,11,0.78972375,0.0009765625,2.9787235,14,0.6945776,0.009765625,0.4964539,15,0.54393303,0.020000001,1.9858156
331,1.2975364,35,10,0.25,64,1.0157816,0.5078908,2,0.4299662,0.0009765625,0.9929078,2,0.39440536,0.0068359375,0.9929078,3,0.38053095,0.0050000004,0.4964539,1,0.5069658,0.0009765625,0.9929078,1,0.4445374,0.0068359375,0.9929078,2,0.44161743,0.0050000004,0.4964539,2,0.397242,0.0009765625,0.9929078,2,0.38033968,0.0068359375,0.9929078,3,0.35897434,0.0050000004,0.4964539,1,0.42989862,0.0009765625,0.9929078,1,0.30823916,0.0068359375,0.9929078,2,0.4520961,0.0050000004,0.4964539,1,0.48418742,0.001953125,1.4893618,2,0.3470493,0.0048828125,2.4822695,2,0.383915,0.0050000004,1.9858156
332,1.3563365,94,10,0.25,8,1.0537075,0.52685374,70,0.27045333,0.0009765625,3.9716313,31,0.27362567,0.0029296875,2.4822695,30,0.32287377,0.008,4.4680853,33,0.5927677,0.0009765625,3.9716313,19,0.5090852,0.0029296875,2.4822695,17,0.9047619,0.008,4.4680853,70,0.20462525,0.0009765625,3.9716313,31,0.20732635,0.0029296875,2.4822695,30,0.34505963,0.008,4.4680853,33,0.4883777,0.0009765625,3.9716313,19,0.49382716,0.0029296875,2.4822695,17,0.8961788,0.008,4.4680853,1,0.3580956,0.001953125,1.9858156,0,1,1.5556641,64.04256,2,0.2987427,0.008,2.4822695
333,1.5494808,68,10,0.25,26,1.1081737,0.55408686,47,0.578141,0.0078125,0.9929078,20,0.33711195,0.005859375,3.9716313,15,0.7398732,0.007,2.9787235,20,0.757675,0.01171875,0.9929078,12,0.83134884,0.005859375,3.9716313,10,0.85918945,0.007,2.9787235,47,0.566741,0.0078125,0.9929078,20,0.3878916,0.005859375,3.9716313,15,0.8263149,0.007,2.9787235,20,0.627357,0.01171875,0.9929078,12,0.8185983,0.005859375,3.9716313,10,0.72217274,0.007,2.9787235,11,0.4809454,0.0078125,0.9929078,13,0.6497175,0.0048828125,4.964539,11,0.63644063,0.081,0
334,0.9255562,53,10,0.25,24,1.0294788,0.5147394,16,0.37987518,0.009765625,1.9858156,12,0.52178663,0.016601562,2.4822695,13,0.3696918,0.015000001,1.4893618,9,0.507478,0.009765625,1.9858156,5,0.50318295,0.016601562,2.4822695,8,0.49195838,0.015000001,1.4893618,16,0.37754792,0.009765625,1.9858156,12,0.54492044,0.016601562,2.4822695,13,0.2951389,0.015000001,1.4893618,9,0.5798196,0.009765625,1.9858156,5,0.5024798,0.016601562,2.4822695,8,0.44358152,0.015000001,1.4893618,1,0.72309154,0.0087890625,2.4822695,1,0.65522724,0.0146484375,1.9858156,1,0.4031511,0.015000001,1.4893618
335,1.1338098,79,10,0.25,4,1.0210568,0.5105284,53,0.6060729,0.0009765625,1.4893618,23,0.32801938,0.005859375,0,25,0.4608189,0.009000001,0.9929078,32,0.66400796,0.0009765625,1.4893618,18,0.6771623,0.005859375,0,15,0.8124766,0.009000001,0.9929078,53,0.6252511,0.0009765625,1.4893618,23,0.26488203,0.005859375,0,25,0.514377,0.009000001,0.9929078,32,0.61952513,0.0009765625,1.4893618,18,0.64858806,0.005859375,0,15,0.8156433,0.009000001,0.9929078,2,0.6217009,0.0009765625,0.9929078,2,0.4040404,0.0068359375,0.9929078,3,0.57714033,0.008,0.4964539
336,1.4838424,55,10,0.25,26,1.1081737,0.55408686,26,0.5684331,0.016601562,2.9787235,10,0.59709066,0.015625,5.460993,7,0.60915315,0.015000001,4.4680853,7,0.6833198,0.016601562,2.9787235,2,0.76591194,0.015625,5.460993,2,0.80288047,0.015000001,4.4680853,26,0.5769396,0.016601562,2.9787235,10,0.6194948,0.015625,5.460993,7,0.6996124,0.015000001,4.4680853,7,0.6394525,0.016601562,2.9787235,2,0.82246196,0.015625,5.460993,2,0.83835185,0.015000001,4.4680853,1,0.7683125,0.0146484375,3.4751773,1,0.62621355,0.016601562,4.4680853,1,0.62081176,0.016,3.4751773
337,1.4325908,76,10,0.25,3,1.033953,0.5169765,49,0.48740172,0.013671875,1.4893618,25,0.51037276,0.016601562,4.964539,16,0.67107105,0.025,8.439716,12,0.7426075,0.018554688,9.929078,14,0.4827767,0.016601562,4.964539,13,0.7099364,0.025,8.439716,49,0.48702383,0.013671875,1.4893618,25,0.5136504,0.016601562,4.964539,16,0.6989437,0.025,8.439716,12,0.8793257,0.018554688,9.929078,14,0.38738507,0.016601562,4.964539,13,0.67338187,0.025,8.439716,2,0.7370989,0.018554688,9.929078,1,0.24827427,0.016601562,5.460993,2,0.36339164,0.021000002,7.446809
338,1.4335033,91,10,0.25,26,1.1081737,0.55408686,48,0.26214314,0.0107421875,1.9858156,26,0.3301695,0.0078125,1.4893618,25,0.2628389,0.014,1.9858156,24,0.33815223,0.0107421875,1.9858156,15,0.3417331,0.0078125,1.4893618,13,0.63488805,0.014,1.9858156,48,0.3313253,0.0107421875,1.9858156,26,0.35668904,0.0078125,1.4893618,25,0.29630482,0.014,1.9858156,24,0.2897392,0.0107421875,1.9858156,15,0.37147737,0.0078125,1.4893618,13,0.59573114,0.014,1.9858156,1,0.2078346,0.009765625,0,1,0.2687282,0.0068359375,5.957447,1,0.2182079,0.010000001,0
